year,file,high competition count,technological competition count
2010,1923.html,2,3
2010,1800.html,5,5
2010,1750.html,4,6
2010,2488.html,9,12
2010,2178.html,0,5
2010,2034.html,4,7
2010,2491.html,7,22
2010,2098.html,12,11
2010,2186.html,1,4
2010,2601.html,14,3
2010,3116.html,13,12
2010,3197.html,12,2
2010,2969.html,4,5
2010,3499.html,5,8
2010,3570.html,2,9
2010,3545.html,6,2
2010,3453.html,9,7
2010,3982.html,8,12
2010,3952.html,13,15
2010,3673.html,21,2
2010,4187.html,14,4
2010,4127.html,15,6
2010,4904.html,34,12
2010,4611.html,11,13
2010,4447.html,13,0
2010,4281.html,17,2
2010,4457.html,12,4
2010,5133.html,18,5
2010,4977.html,13,7
2010,4962.html,14,0
2011,1923.html,12,34
2011,1800.html,0,11
2011,1750.html,45,0
2011,2488.html,3,2
2011,2178.html,6,4
2011,2034.html,8,6
2011,2491.html,13,7
2011,2098.html,17,9
2011,2186.html,2,11
2011,2601.html,4,13
2011,3116.html,5,14
2011,3197.html,2,17
2011,2969.html,5,0
2011,3499.html,17,0
2011,3570.html,13,2
2011,3545.html,5,5
2011,3453.html,1,6
2011,3982.html,0,8
2011,3952.html,56,11
2011,3673.html,12,19
2011,4187.html,13,12
2011,4127.html,12,0
2011,4904.html,3,13
2011,4611.html,5,11
2011,4447.html,4,9
2011,4281.html,32,7
2011,4457.html,23,8
2011,5133.html,11,9
2011,4977.html,22,11
2011,4962.html,0,4
2012,1923.html,4,5
2012,1800.html,5,0
2012,1750.html,6,4
2012,2488.html,0,7
2012,2178.html,0,8
2012,2034.html,4,12
2012,2491.html,7,14
2012,2098.html,8,11
2012,2186.html,9,0
2012,2601.html,10,14
2012,3116.html,12,2
2012,3197.html,14,9
2012,2969.html,15,8
2012,3499.html,0,5
2012,3570.html,11,4
2012,3545.html,12,6
2012,3453.html,14,7
2012,3982.html,2,3
2012,3952.html,11,1
2012,3673.html,9,9
2012,4187.html,8,56
2012,4127.html,5,3
2012,4904.html,4,0
2012,4611.html,6,7
2012,4447.html,7,23
2012,4281.html,3,24
2012,4457.html,1,7
2012,5133.html,9,4
2012,4977.html,56,6
2012,4962.html,3,7
2013,1923.html,0,9
2013,1800.html,7,4
2013,1750.html,24,0
2013,2488.html,23,0
2013,2178.html,4,5
2013,2034.html,7,8
2013,2491.html,6,9
2013,2098.html,0,12
2013,2186.html,7,0
2013,2601.html,9,12
2013,3116.html,4,13
2013,3197.html,0,5
2013,2969.html,0,7
2013,3499.html,0,0
2013,3570.html,5,4
2013,3545.html,8,3
2013,3453.html,9,1
2013,3982.html,12,3
2013,3952.html,0,4
2013,3673.html,0,7
2013,4187.html,12,9
2013,4127.html,13,0
2013,4904.html,5,8
2013,4611.html,7,31
2013,4447.html,0,7
2013,4281.html,0,8
2013,4457.html,4,6
2013,5133.html,3,5
2013,4977.html,1,4
2013,4962.html,3,0
2014,1923.html,4,8
2014,1800.html,7,9
2014,1750.html,9,12
2014,2488.html,0,0
2014,2178.html,0,14
2014,2034.html,8,17
2014,2491.html,32,23
2014,2098.html,7,0
2014,2186.html,0,3
2014,2601.html,8,4
2014,3116.html,9,6
2014,3197.html,10,2
2014,2969.html,12,1
2014,3499.html,13,6
2014,3570.html,14,8
2014,3545.html,17,11
2014,3453.html,0,23
2014,3982.html,23,4
2014,3952.html,3,7
2014,3673.html,4,11
2014,4187.html,6,12
2014,4127.html,2,23
2014,4904.html,1,24
2014,4611.html,6,2
2014,4447.html,8,1
2014,4281.html,11,6
2014,4457.html,23,5
2014,5133.html,4,3
2014,4977.html,7,2
2014,4962.html,11,5
2015,1923.html,12,4
2015,1800.html,23,12
2015,1750.html,24,15
2015,2488.html,2,11
2015,2178.html,1,5
2015,2034.html,6,3
2015,2491.html,5,4
2015,2098.html,3,11
2015,2186.html,2,12
2015,2601.html,5,13
2015,3116.html,4,7
2015,3197.html,12,8
2015,2969.html,13,9
2015,3499.html,15,12
2015,3570.html,12,11
2015,3545.html,4,4
2015,3453.html,3,6
2015,3982.html,12,5
2015,3952.html,11,0
2015,3673.html,13,4
2015,4187.html,7,3
2015,4127.html,8,6
2015,4904.html,2,3
2015,4611.html,8,5
2015,4447.html,9,7
2015,4281.html,12,0
2015,4457.html,13,11
2015,5133.html,11,4
2015,4977.html,4,6
2015,4962.html,6,3
2016,1923.html,5,4
2016,1800.html,0,7
2016,1750.html,4,9
2016,2488.html,3,21
2016,2178.html,6,23
2016,2034.html,3,22
2016,2491.html,5,6
2016,2098.html,4,8
2016,2186.html,6,9
2016,2601.html,3,11
2016,3116.html,4,0
2016,3197.html,7,4
2016,2969.html,9,9
2016,3499.html,21,6
2016,3570.html,23,23
2016,3545.html,22,25
2016,3453.html,6,26
2016,3982.html,8,0
2016,3952.html,9,34
2016,3673.html,11,24
2016,4187.html,0,7
2016,4127.html,4,2
2016,4904.html,6,9
2016,4611.html,9,13
2016,4447.html,23,15
2016,4281.html,25,16
2016,4457.html,26,11
2016,5133.html,0,4
2016,4977.html,24,7
2016,4962.html,34,9
2017,1923.html,2,13
2017,1800.html,7,15
2017,1750.html,9,12
2017,2488.html,13,16
2017,2178.html,15,12
2017,2034.html,16,17
2017,2491.html,11,11
2017,2098.html,4,0
2017,2186.html,7,0
2017,2601.html,9,21
2017,3116.html,12,3
2017,3197.html,13,24
2017,2969.html,15,8
2017,3499.html,16,6
2017,3570.html,12,0
2017,3545.html,18,11
2017,3453.html,19,32
2017,3982.html,0,31
2017,3952.html,0,0
2017,3673.html,21,4
2017,4187.html,3,6
2017,4127.html,41,8
2017,4904.html,3,9
2017,4611.html,6,2
2017,4447.html,8,4
2017,4281.html,0,3
2017,4457.html,0,1
2017,5133.html,11,6
2017,4977.html,23,8
2017,4962.html,31,2
